ID,Survived,Pclass,Sex,Age,Fare,Family
0,0,3,0,22,7.25,1
1,1,1,1,38,71.2833,1
2,1,3,1,26,7.925,0
3,1,1,1,35,53.1,1
4,0,3,0,35,8.05,0
6,0,1,0,54,51.8625,0
7,0,3,0,2,21.075,4
8,1,3,1,27,11.1333,2
9,1,2,1,14,30.0708,1
10,1,3,1,4,16.7,2
11,1,1,1,58,26.55,0
12,0,3,0,20,8.05,0
13,0,3,0,39,31.275,6
14,0,3,1,14,7.8542,0
15,1,2,1,55,16,0
16,0,3,0,2,29.125,5
18,0,3,1,31,18,1
20,0,2,0,35,26,0
21,1,2,0,34,13,0
22,1,3,1,15,8.0292,0
23,1,1,0,28,35.5,0
24,0,3,1,8,21.075,4
25,1,3,1,38,31.3875,6
27,0,1,0,19,263,5
30,0,1,0,40,27.7208,0
33,0,2,0,66,10.5,0
34,0,1,0,28,82.1708,1
35,0,1,0,42,52,1
37,0,3,0,21,8.05,0
38,0,3,1,18,18,2
39,1,3,1,14,11.2417,1
40,0,3,1,40,9.475,1
41,0,2,1,27,21,1
43,1,2,1,3,41.5792,3
44,1,3,1,19,7.8792,0
49,0,3,1,18,17.8,1
50,0,3,0,7,39.6875,5
51,0,3,0,21,7.8,0
52,1,1,1,49,76.7292,1
53,1,2,1,29,26,1
54,0,1,0,65,61.9792,1
56,1,2,1,21,10.5,0
57,0,3,0,28.5,7.2292,0
58,1,2,1,5,27.75,3
59,0,3,0,11,46.9,7
60,0,3,0,22,7.2292,0
61,1,1,1,38,80,0
62,0,1,0,45,83.475,1
63,0,3,0,4,27.9,5
66,1,2,1,29,10.5,0
67,0,3,0,19,8.1583,0
68,1,3,1,17,7.925,6
69,0,3,0,26,8.6625,2
70,0,2,0,32,10.5,0
71,0,3,1,16,46.9,7
72,0,2,0,21,73.5,0
73,0,3,0,26,14.4542,1
74,1,3,0,32,56.4958,0
75,0,3,0,25,7.65,0
78,1,2,0,0.83,29,2
79,1,3,1,30,12.475,0
80,0,3,0,22,9,0
81,1,3,0,29,9.5,0
83,0,1,0,28,47.1,0
84,1,2,1,17,10.5,0
85,1,3,1,33,15.85,3
86,0,3,0,16,34.375,4
88,1,1,1,23,263,5
89,0,3,0,24,8.05,0
90,0,3,0,29,8.05,0
91,0,3,0,20,7.8542,0
92,0,1,0,46,61.175,1
93,0,3,0,26,20.575,3
94,0,3,0,59,7.25,0
96,0,1,0,71,34.6542,0
97,1,1,0,23,63.3583,1
98,1,2,1,34,23,1
99,0,2,0,34,26,1
100,0,3,1,28,7.8958,0
102,0,1,0,21,77.2875,1
103,0,3,0,33,8.6542,0
104,0,3,0,37,7.925,2
105,0,3,0,28,7.8958,0
106,1,3,1,21,7.65,0
108,0,3,0,38,7.8958,0
110,0,1,0,47,52,0
111,0,3,1,14.5,14.4542,1
112,0,3,0,22,8.05,0
113,0,3,1,20,9.825,1
114,0,3,1,17,14.4583,0
115,0,3,0,21,7.925,0
116,0,3,0,70.5,7.75,0
117,0,2,0,29,21,1
118,0,1,0,24,247.5208,1
119,0,3,1,2,31.275,6
120,0,2,0,21,73.5,2
122,0,2,0,32.5,30.0708,1
123,1,2,1,32.5,13,0
124,0,1,0,54,77.2875,1
125,1,3,0,12,11.2417,1
127,1,3,0,24,7.1417,0
129,0,3,0,45,6.975,0
130,0,3,0,33,7.8958,0
131,0,3,0,20,7.05,0
132,0,3,1,47,14.5,1
133,1,2,1,29,26,1
134,0,2,0,25,13,0
135,0,2,0,23,15.0458,0
136,1,1,1,19,26.2833,2
137,0,1,0,37,53.1,1
138,0,3,0,16,9.2167,0
139,0,1,0,24,79.2,0
141,1,3,1,22,7.75,0
142,1,3,1,24,15.85,1
143,0,3,0,19,6.75,0
144,0,2,0,18,11.5,0
145,0,2,0,19,36.75,2
146,1,3,0,27,7.7958,0
147,0,3,1,9,34.375,4
148,0,2,0,36.5,26,2
149,0,2,0,42,13,0
150,0,2,0,51,12.525,0
151,1,1,1,22,66.6,1
152,0,3,0,55.5,8.05,0
153,0,3,0,40.5,14.5,2
155,0,1,0,51,61.3792,1
156,1,3,1,16,7.7333,0
157,0,3,0,30,8.05,0
160,0,3,0,44,16.1,1
161,1,2,1,40,15.75,0
162,0,3,0,26,7.775,0
163,0,3,0,17,8.6625,0
164,0,3,0,1,39.6875,5
165,1,3,0,9,20.525,2
167,0,3,1,45,27.9,5
169,0,3,0,28,56.4958,0
170,0,1,0,61,33.5,0
171,0,3,0,4,29.125,5
